mercado,corte,N,reds,red_pct,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,BH_passa,decisao
CS_0x3,Todos,11821,397,3.3584299128669315,96.64157008713306,95.6000520814371,1.0415180056959739,25.0,1.1208749394287587,0.6581390782061145,1.5558824659723123,0.0,834,True,PASSA
CS_3x3,TOP 3,504,10,1.984126984126984,98.01587301587301,94.78084735622528,3.235025659647728,21.0,3.533233941084753,2.1215801156208527,4.785451912139715,0.0,245,True,PASSA
CS_3x3,Todos,1955,28,1.432225063938619,98.56777493606138,95.93634200882157,2.6314329272398074,28.0,2.7918554169438297,2.2199014097340983,3.3224228799116906,0.0,245,True,PASSA
CS_3x3,TOP 2,387,7,1.8087855297157622,98.19121447028424,94.75560071186415,3.4356137584200974,24.0,3.7618535097818415,2.1746144536524548,5.111291228508081,0.0,245,True,PASSA
CS_3x3,TOP 1,245,4,1.6326530612244898,98.36734693877551,94.85577885156414,3.5115680872113697,32.0,3.8761168732511466,1.9623636502064938,5.4330596236383615,0.0002,245,True,PASSA
CS_1x3,TOP 2,1674,71,4.241338112305854,95.75866188769415,94.25787416684463,1.5007877208495168,16.0,1.602335980242809,0.5163057755711074,2.6207024966223473,0.0028,860,False,INCONCLUSIVO
CS_1x3,TOP 3,2442,107,4.381654381654382,95.61834561834561,94.48962158456769,1.128724033777928,16.5,1.2044584385111519,0.32667271852734964,2.0447478968423844,0.0036,860,False,INCONCLUSIVO
CS_1x3,Todos,17768,638,3.5907248986942824,96.40927510130571,96.05600945088476,0.35326565042095304,26.0,0.3818391694611691,0.04204001628805822,0.7207394553461547,0.014,860,False,INCONCLUSIVO
CS_0x3,TOP 3,2288,129,5.638111888111888,94.36188811188812,93.52810541828032,0.8337826936077986,15.0,0.9376977609046241,-0.11891525382665984,1.9597320366596067,0.0414,834,False,INCONCLUSIVO
CS_1x3,TOP 1,860,45,5.232558139534884,94.76744186046511,93.9404709507853,0.826970909679825,15.0,0.8907657219867569,-0.7411062628443599,2.4142564527572588,0.1438,860,False,INCONCLUSIVO
CS_0x3,TOP 2,1596,102,6.390977443609022,93.60902255639097,93.09638748312798,0.5126350732629903,14.0,0.6117648537826416,-0.742241833092344,1.8957061037181482,0.181,834,False,INCONCLUSIVO
CS_0x3,TOP 1,834,57,6.83453237410072,93.16546762589928,92.4867052985391,0.6787623273601717,12.5,0.7745171868578266,-1.199262801986162,2.587834448738194,0.2049,834,False,INCONCLUSIVO
CS_3x1,TOP 1,882,52,5.895691609977324,94.10430839002267,93.66177879545188,0.4425295945707952,14.0,0.4634772349891847,-1.2247561668007632,2.0805856510587466,0.2869,882,False,INCONCLUSIVO
CS_2x2,TOP 2,1766,114,6.455266138165346,93.54473386183464,93.30152120390335,0.2432126579313021,14.5,0.3080251085307293,-0.9915782913241525,1.555538258050491,0.3117,890,False,INCONCLUSIVO
CS_2x2,TOP 1,890,60,6.741573033707865,93.25842696629213,93.04229499773037,0.21613196856177241,14.5,0.30072222356287537,-1.5250602977468142,2.0550212438688806,0.3651,890,False,INCONCLUSIVO
CS_Goleada_A,TOP 1,878,63,7.175398633257403,92.8246013667426,92.57667847611286,0.24792289062973705,11.5,0.2503773925231016,-1.684536636427509,2.0184117678022004,0.3866,878,False,INCONCLUSIVO
CS_3x2,TOP 1,838,34,4.05727923627685,95.94272076372316,95.82732938720251,0.11539137652064602,24.0,0.1476212913793953,-1.317077618402416,1.4866955729090314,0.4086,838,False,INCONCLUSIVO
CS_2x2,TOP 3,2620,169,6.450381679389312,93.54961832061068,93.49214934722991,0.05746897338076984,15.0,0.10381984615148228,-0.9454717990692415,1.1337277522610565,0.4134,890,False,INCONCLUSIVO
Under35_FT,TOP 1,545,407,74.6788990825688,25.321100917431195,25.11248860107196,0.20861231635923572,1.3,1.1798968078754866,-13.239180281993255,16.194995081325438,0.4513,545,False,INCONCLUSIVO
Under35_FT,TOP 2,1084,807,74.44649446494465,25.553505535055354,25.69187815729141,-0.13837262223605484,1.31,0.06910451472837807,-10.320857711130962,10.78263249159506,0.5087,545,False,INCONCLUSIVO
X2,Todos,24254,12125,49.99175393749485,50.00824606250516,52.712052033432535,-2.7038059709273754,1.97,-5.677873586681855,-7.006906953120097,-4.344925699298756,1.0,546,False,REPROVA
X2,TOP 3,1624,1053,64.83990147783251,35.16009852216748,38.67722183739794,-3.5171233152304526,1.54,-9.789307971257239,-15.53415635374757,-4.082906162663947,1.0,546,False,REPROVA
X2,TOP 2,1089,729,66.94214876033058,33.057851239669425,37.786881533580235,-4.729030293910813,1.53,-13.810043961462442,-21.211933378468668,-6.412569360769206,1.0,546,False,REPROVA
H,Todos,46419,19284,41.54333354876236,58.45666645123764,60.77781876643877,-2.321152315201136,2.46,-3.9940173595847437,-4.817701709869034,-3.197805162498557,1.0,894,False,REPROVA
D,Todos,49586,13018,26.253377969588186,73.74662203041181,75.9378286412229,-2.1912066108110806,3.9,-2.888808127364104,-3.3963762437770058,-2.3924710941694878,1.0,894,False,REPROVA
D,TOP 3,2658,889,33.44620015048909,66.55379984951091,69.06949444070653,-2.5156945911956274,3.1,-3.6728366924124844,-6.402640450050669,-0.9562913100385669,1.0,894,False,REPROVA
D,TOP 2,1780,595,33.42696629213483,66.57303370786516,68.50672602097028,-1.9336923131051065,3.05,-2.91469764086781,-6.22544639160955,0.35853033593623396,1.0,894,False,INCONCLUSIVO
H,TOP 3,2653,1623,61.17602713908783,38.82397286091217,41.459993111591835,-2.6360202506796657,1.61,-7.246618721530427,-11.87862005157211,-2.726848309123419,1.0,894,False,REPROVA
A,Todos,46574,14452,31.030188517198436,68.96981148280157,71.2817396860164,-2.3119282032148303,3.6,-3.423084003078981,-4.047504732243691,-2.7807543382411257,1.0,894,False,REPROVA
A,TOP 3,2654,1397,52.637528259231345,47.362471740768655,48.888010903298074,-1.5255391625294212,1.81,-3.6610269213569357,-7.676375658460599,0.23593305879619889,1.0,894,False,INCONCLUSIVO
H,TOP 2,1777,1132,63.70287000562747,36.29712999437253,40.048820439811955,-3.7516904454394204,1.58,-10.002514183336709,-15.783323229381477,-4.247385562322554,1.0,894,False,REPROVA
H,TOP 1,894,569,63.646532438478744,36.353467561521256,38.495731600220815,-2.1422640386995595,1.54,-6.10059254727607,-14.300808209166615,2.20977647248063,1.0,894,False,INCONCLUSIVO
Under05_FT,TOP 1,164,38,23.170731707317074,76.82926829268293,82.69663239751645,-5.867364104833528,5.7,-7.208993708224367,-15.273281808396602,0.39065418698389237,1.0,164,False,INCONCLUSIVO
Under05_FT,TOP 2,213,48,22.535211267605636,77.46478873239437,82.82906436140672,-5.3642756290123605,5.7,-6.557199800975488,-13.13751447323418,-0.12585327421909598,1.0,164,False,REPROVA
Over15_FT,Todos,31746,22404,70.57267057267057,29.42732942732943,33.35097271070514,-3.9236432833757107,1.44,-10.067812689225729,-11.761685030810241,-8.367049257040888,1.0,774,False,REPROVA
Over15_FT,TOP 3,2280,1751,76.79824561403508,23.20175438596491,25.96882405724219,-2.767069671277278,1.31,-11.390330463015026,-18.071986544360268,-4.786847943080437,1.0,774,False,REPROVA
Under15_FT,Todos,35928,10020,27.889111556446228,72.11088844355378,74.82670559665287,-2.715817153099098,3.95,-3.675365823025576,-4.352014427738523,-2.9969355532991027,1.0,775,False,REPROVA
Under15_FT,TOP 3,2294,900,39.23278116826504,60.76721883173496,63.172556056888794,-2.4053372251538363,2.6,-3.9555440665206483,-7.274130404144582,-0.6561478862240746,1.0,775,False,REPROVA
Over15_FT,TOP 2,1536,1189,77.40885416666666,22.591145833333336,25.541345555913235,-2.9501997225798995,1.31,-12.1514752951898,-20.38660943171959,-3.9027840567145713,1.0,774,False,REPROVA
Over15_FT,TOP 1,774,616,79.58656330749353,20.41343669250646,25.052098683557446,-4.638661991050985,1.3,-18.782210407171092,-30.12079982822086,-7.1778008157905555,1.0,774,False,REPROVA
Over25_FT,Todos,51730,26312,50.864102068432246,49.135897931567754,53.00855949805957,-3.8726615664918196,2.08,-7.161035827548178,-8.099460324670154,-6.224951544913098,1.0,894,False,REPROVA
Over25_FT,TOP 3,2660,1770,66.54135338345864,33.45864661654135,35.696935682970015,-2.2382890664286617,1.48,-7.01597874358893,-12.149080298151729,-1.7941529460496073,1.0,894,False,REPROVA
