mercado,corte,N,reds,red_pct,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,BH_passa,decisao
CS_1x2,TOP 3,108,7,6.481481481481481,93.51851851851852,91.01454805113076,2.5039704673877616,10.0,2.7963072314677606,-2.2762896377925035,7.096045328402065,0.1391,36,False,INCONCLUSIVO
CS_2x1,TOP 3,108,8,7.4074074074074066,92.5925925925926,90.4061530218376,2.1864395707549944,9.6,2.4268995399823328,-2.6791340788975204,6.868303712152195,0.1604,36,False,INCONCLUSIVO
CS_1x3,TOP 3,103,4,3.8834951456310676,96.11650485436894,94.2965619613502,1.8199428930187334,15.5,1.914470854212013,-2.227362497900721,5.172653463539607,0.1625,36,False,INCONCLUSIVO
CS_1x1,TOP 3,108,12,11.11111111111111,88.88888888888889,86.61020336166911,2.2786855272197704,7.0,2.6979731026762632,-3.6106102864973706,8.23244553132996,0.1904,36,False,INCONCLUSIVO
Under15_FT,TOP 3,108,37,34.25925925925926,65.74074074074075,61.37943210815325,4.361308632587491,2.46,7.011562331712113,-9.847917611204291,23.302551973872852,0.2,36,False,INCONCLUSIVO
CS_3x1,TOP 3,105,6,5.714285714285714,94.28571428571428,93.31441027995247,0.9713040057618083,14.0,1.0242445462096494,-3.734833038439707,5.135019676336689,0.3043,36,False,INCONCLUSIVO
CS_0x3,Todos,600,23,3.833333333333333,96.16666666666667,95.94346545753172,0.2232012091349489,27.0,0.22961754812789276,-1.1511807764148745,1.358730066059324,0.3493,35,False,INCONCLUSIVO
Under25_FT,TOP 3,108,70,64.81481481481481,35.18518518518518,34.24628870748892,0.9388964776962605,1.455,3.52637284077697,-23.069789118941518,30.623800717449406,0.3966,36,False,INCONCLUSIVO
Under35_FT,TOP 3,105,77,73.33333333333333,26.66666666666667,25.965632369202464,0.7010342974642092,1.31,3.1562558486847503,-30.07025819419172,39.40135079830539,0.4392,35,False,INCONCLUSIVO
CS_1x1,Todos,2530,262,10.355731225296443,89.64426877470356,89.5699661751195,0.07430259958405294,8.8,0.08071191061350326,-1.131813310575135,1.4344415474924863,0.4577,36,False,INCONCLUSIVO
D,TOP 3,108,34,31.48148148148148,68.5185185185185,68.00927943781835,0.5092390807001634,2.98,0.5188665382442276,-11.290911963007135,12.452411150038529,0.4619,36,False,INCONCLUSIVO
Under25_FT,Todos,2566,1175,45.791114575214344,54.208885424785656,54.30955168507585,-0.10066626029019421,2.14,0.1640330848209805,-3.239766347106839,3.3497689213809294,0.4724,36,False,INCONCLUSIVO
1X,TOP 3,105,68,64.76190476190476,35.238095238095234,36.821462296096676,-1.5833670580014447,1.52,-3.8161555243333853,-26.834605189029187,18.563016710115992,1.0,36,False,INCONCLUSIVO
A,TOP 3,108,66,61.111111111111114,38.888888888888886,47.55382805157498,-8.664939162686098,1.73,-20.04247088724592,-40.209033225153526,1.1106192424416645,1.0,36,False,INCONCLUSIVO
A,Todos,2386,762,31.936295054484493,68.0637049455155,71.02705066471813,-2.963345719202637,3.55,-4.499806036144687,-7.004138361956956,-2.1639066899167863,1.0,36,False,REPROVA
X2,Todos,1956,973,49.74437627811861,50.25562372188139,52.40658871966838,-2.150964997786986,1.96,-5.256771886490286,-10.391342506368384,0.08936381248824193,1.0,36,False,INCONCLUSIVO
