mes,Date,Home,Away,odd_lay,p,ev,target,pnl
2024-03,2024-03-16,Udinese,Torino,8.0,0.9223,0.3322,1,0.95
2024-03,2024-03-16,Salernitana,Lecce,10.5,0.9171,0.084,1,0.95
2024-03,2024-03-16,Ath Bilbao,Alaves,10.5,0.9141,0.0527,1,0.95
2024-03,2024-03-16,Puerto Cabello,Caracas,11.5,0.9223,0.0602,1,0.95
2024-03,2024-03-17,Guadalajara Chivas,Club America,13.0,0.9614,0.4506,0,-12.0
2024-03,2024-03-17,Valencia B,Espanyol B,7.8,0.8981,0.1599,1,0.95
2024-03,2024-03-17,Brest,Lille,9.6,0.912,0.1095,1,0.95
2024-03,2024-03-17,Karlsruher SC,Magdeburg,21.0,0.9685,0.2891,1,0.95
2024-03,2024-03-17,Leganes,Mirandes,8.0,0.9198,0.3125,1,0.95
2024-03,2024-03-17,Utrecht,Nijmegen,20.0,0.9626,0.2032,1,0.95
2024-03,2024-03-17,Celje,Radomlje,22.0,0.9744,0.3872,1,0.95
2024-03,2024-03-17,Monaco,Lorient,24.0,0.9812,0.4991,1,0.95
2024-03,2024-03-17,Caldas,Amora,12.5,0.9375,0.1714,1,0.95
2024-03,2024-03-17,Villarreal,Valencia,12.5,0.9318,0.1014,1,0.95
2024-03,2024-03-17,Leixoes,Mafra,11.0,0.9421,0.3163,1,0.95
2024-03,2024-03-17,CSKA Sofia,Botev Plovdiv,13.0,0.9515,0.3215,1,0.95
2024-03,2024-03-17,Salzburg,Hartberg,23.0,0.9685,0.226,1,0.95
2024-03,2024-03-17,Nordsjaelland,Randers FC,21.0,0.9642,0.2008,1,0.95
2024-03,2024-03-17,Rennes,Marseille,14.5,0.9536,0.2799,1,0.95
2024-03,2024-03-17,Legia,Piast Gliwice,12.0,0.926,0.0651,1,0.95
2024-03,2024-03-17,Arzignano,Trento,9.0,0.9121,0.1632,0,-8.0
2024-03,2024-03-17,Foggia,Juve Stabia,9.8,0.9276,0.2438,1,0.95
2024-03,2024-03-17,Inter,Napoli,17.0,0.9544,0.1777,1,0.95
2024-03,2024-03-17,Pereira,Aguilas,8.6,0.935,0.3943,1,0.95
2024-03,2024-03-18,UTA Arad,FC Voluntari,12.5,0.9254,0.0216,1,0.95
2024-03,2024-03-18,Potenza,Picerno,8.8,0.9202,0.2513,1,0.95
2024-03,2024-03-20,Tokushima,Renofa Yamaguchi,10.5,0.9121,0.0314,1,0.95
2024-03,2024-03-22,Martigues,Avranches,22.0,0.9613,0.1011,1,0.95
2024-03,2024-03-23,Morton,Dunfermline,12.5,0.9291,0.0671,1,0.95
2024-03,2024-03-23,Ayr,Queen's Park,18.5,0.9587,0.1882,1,0.95
2024-03,2024-03-23,Crewe,AFC Wimbledon,11.5,0.9276,0.1207,1,0.95
2024-03,2024-03-23,Carlisle,Stevenage,10.5,0.9276,0.1931,1,0.95
2024-03,2024-03-23,Villarreal B,Leganes,8.2,0.8981,0.1191,1,0.95
2024-03,2024-03-23,FC Cartagena SAD,Andorra,8.8,0.9061,0.1282,1,0.95
2024-03,2024-03-23,Millonarios,Dep. Cali,13.5,0.9329,0.0478,1,0.95
2024-03,2024-03-23,FC Cincinnati,New York City,12.5,0.935,0.1409,1,0.95
2024-03,2024-03-23,America De Cali,Chico,15.0,0.9595,0.3444,1,0.95
