mes,Date,Home,Away,odd_lay,p,ev,target,pnl
2024-03,2024-03-16,Udinese,Torino,8.0,0.9412,0.4824,1,0.95
2024-03,2024-03-16,Salernitana,Lecce,10.5,0.9159,0.0708,1,0.95
2024-03,2024-03-16,Ath Bilbao,Alaves,10.5,0.9163,0.0755,1,0.95
2024-03,2024-03-16,Puerto Cabello,Caracas,11.5,0.9241,0.0809,1,0.95
2024-03,2024-03-17,Guadalajara Chivas,Club America,13.0,0.9496,0.2969,0,-12.0
2024-03,2024-03-17,Valencia B,Espanyol B,7.8,0.8947,0.1336,1,0.95
2024-03,2024-03-17,Brest,Lille,9.6,0.9178,0.1653,1,0.95
2024-03,2024-03-17,Karlsruher SC,Magdeburg,21.0,0.9693,0.3063,1,0.95
2024-03,2024-03-17,Leganes,Mirandes,8.0,0.9163,0.2849,1,0.95
2024-03,2024-03-17,A. Klagenfurt,Sturm Graz,14.0,0.9363,0.0617,1,0.95
2024-03,2024-03-17,Monaco,Lorient,24.0,0.9664,0.1456,1,0.95
2024-03,2024-03-17,Caldas,Amora,12.5,0.9506,0.3346,1,0.95
2024-03,2024-03-17,Villarreal,Valencia,12.5,0.9347,0.1368,1,0.95
2024-03,2024-03-17,Leixoes,Mafra,11.0,0.9367,0.2564,1,0.95
2024-03,2024-03-17,CSKA Sofia,Botev Plovdiv,13.0,0.9477,0.2725,1,0.95
2024-03,2024-03-17,Salzburg,Hartberg,23.0,0.9655,0.1581,1,0.95
2024-03,2024-03-17,Rennes,Marseille,14.5,0.9532,0.2738,1,0.95
2024-03,2024-03-17,Legia,Piast Gliwice,12.0,0.9409,0.2438,1,0.95
2024-03,2024-03-17,Rayo Vallecano,Betis,9.6,0.9075,0.0663,1,0.95
2024-03,2024-03-17,Foggia,Juve Stabia,9.8,0.9228,0.1972,1,0.95
2024-03,2024-03-17,Pereira,Aguilas,8.6,0.9287,0.3407,1,0.95
2024-03,2024-03-18,Potenza,Picerno,8.8,0.9035,0.1059,1,0.95
2024-03,2024-03-19,Barnet,Eastleigh,30.0,0.975,0.2011,1,0.95
2024-03,2024-03-20,Okayama,Mito,12.5,0.9321,0.105,1,0.95
2024-03,2024-03-20,Tokushima,Renofa Yamaguchi,10.5,0.9163,0.0757,1,0.95
2024-03,2024-03-21,Emelec,Delfin,14.0,0.9412,0.1295,1,0.95
2024-03,2024-03-23,Ayr,Queen's Park,18.5,0.9548,0.1164,1,0.95
2024-03,2024-03-23,Crewe,AFC Wimbledon,11.5,0.9363,0.2209,1,0.95
2024-03,2024-03-23,Carlisle,Stevenage,10.5,0.9189,0.1023,1,0.95
2024-03,2024-03-23,FC Cartagena SAD,Andorra,8.8,0.8947,0.0283,1,0.95
2024-03,2024-03-23,FC Cincinnati,New York City,12.5,0.9307,0.0873,1,0.95
2024-03,2024-03-23,America De Cali,Chico,15.0,0.946,0.1434,1,0.95
2024-03,2024-03-23,San Jose Earthquakes,Seattle Sounders,12.0,0.9242,0.0446,1,0.95
