mes,Date,Home,Away,odd_lay,p,ev,target,pnl
2024-03,2024-03-16,Salernitana,Lecce,10.5,0.9146,0.0576,1,0.95
2024-03,2024-03-16,Fulham,Tottenham,24.0,0.9673,0.1663,1,0.95
2024-03,2024-03-16,Udinese,Torino,8.0,0.9089,0.2258,1,0.95
2024-03,2024-03-17,Hertha Berlin,Schalke,19.0,0.9853,0.6705,1,0.95
2024-03,2024-03-17,Sparta Rotterdam,Ajax,20.0,0.9669,0.2901,1,0.95
2024-03,2024-03-17,Karlsruher SC,Magdeburg,21.0,0.9581,0.0729,1,0.95
2024-03,2024-03-17,Leganes,Mirandes,8.0,0.9253,0.3565,1,0.95
2024-03,2024-03-17,Palestino,Union La Calera,18.0,0.9529,0.1052,0,-17.0
2024-03,2024-03-17,Villarreal,Valencia,12.5,0.9391,0.1923,1,0.95
2024-03,2024-03-17,U. Catolica,A. Italiano,14.0,0.9362,0.0597,0,-13.0
2024-03,2024-03-17,Valencia B,Espanyol B,7.8,0.9229,0.3524,1,0.95
2024-03,2024-03-17,Leixoes,Mafra,11.0,0.9322,0.2078,1,0.95
2024-03,2024-03-17,AS Roma,Sassuolo,18.5,0.9519,0.0629,1,0.95
2024-03,2024-03-17,Freiburg,Bayer Leverkusen,18.5,0.9537,0.0965,1,0.95
2024-03,2024-03-17,Gent,Charleroi,21.0,0.9738,0.4014,1,0.95
2024-03,2024-03-17,Athletic Bilbao W,Valencia W,12.5,0.9544,0.3827,1,0.95
2024-03,2024-03-17,Brest,Lille,9.6,0.9141,0.1298,1,0.95
2024-03,2024-03-17,Envigado,Millonarios,12.0,0.9343,0.1653,1,0.95
2024-03,2024-03-17,Westerlo,Genk,17.5,0.9673,0.379,1,0.95
2024-03,2024-03-17,Heerenveen,Feyenoord,22.0,0.9738,0.3752,1,0.95
2024-03,2024-03-17,Celje,Radomlje,22.0,0.9581,0.031,1,0.95
2024-03,2024-03-17,Pereira,Aguilas,8.6,0.9236,0.2967,1,0.95
2024-03,2024-03-17,Legia,Piast Gliwice,12.0,0.9321,0.1386,1,0.95
2024-03,2024-03-17,Dortmund,Eintracht Frankfurt,26.0,0.9776,0.3676,1,0.95
2024-03,2024-03-18,Villefranche,Red Star,13.5,0.9343,0.0668,1,0.95
2024-03,2024-03-18,Potenza,Picerno,8.8,0.9021,0.0937,1,0.95
2024-03,2024-03-21,Emelec,Delfin,14.0,0.9362,0.0597,1,0.95
2024-03,2024-03-22,Bray,Wexford,14.5,0.9362,0.0278,1,0.95
2024-03,2024-03-23,Villarreal B,Leganes,8.2,0.9021,0.1524,1,0.95
2024-03,2024-03-23,Deportes Tolima,Pereira,10.0,0.9136,0.0901,1,0.95
2024-03,2024-03-23,Carlisle,Stevenage,10.5,0.916,0.0723,1,0.95
2024-03,2024-03-23,Millonarios,Dep. Cali,13.5,0.9314,0.0275,1,0.95
2024-03,2024-03-23,FC Cincinnati,New York City,12.5,0.9293,0.0697,1,0.95
2024-03,2024-03-24,Mirandes,Zaragoza,7.6,0.8795,0.0399,0,-6.6
